DBUID,24hr_trip_count_August_2018
35202163001,1463
35202163002,1458
35202163003,1318
35202163004,1458
35202164001,1318
35202164002,1318
35202164003,1318
35202164004,762
35202164005,1318
35202165001,762
35202165002,762
35202166002,762
35202166003,909
35202166004,762
35202166005,909
35202167001,1160
35202167002,334
35202167003,1160
35202167004,1160
35202168001,334
35202168002,1160
35202169001,1160
35202169002,334
35202348004,2253
35202348005,2253
35202348006,2253
35202348007,2253
35202348008,2253
35202348009,2253
35202349001,1525
35202349002,2253
35202349003,707
35202349004,2253
35202349005,2253
35202349006,2253
35202349007,663
35202349008,510
35202350001,131
35202350002,131
35202350003,242
35202351002,436
35202351003,663
35202351004,436
35202351005,131
35202352001,573
35202352002,2253
35202467002,761
35202467003,761
35202468002,704
35202468003,704
35202468004,796
35202468006,704
35202468007,704
35202468008,865
35202468009,761
35202468010,282
35202468013,948
35202468014,1056
35202468016,311
35202469001,761
35202469002,761
35202472005,1201
35202472006,1201
35202475008,1201
35203324010,622
35203324011,622
35203330001,351
35203331001,351
35203332001,401
35203332002,401
35203332003,401
35203332004,401
35203333001,146
35203333003,444
35203338001,444
35203338002,444
35203339001,351
35203339002,351
35203339003,444
35203339004,351
35203427003,1190
35203427005,1249
35203427006,603
35203435002,1017
35203435003,1017
35203439001,1823
35203439002,1448
35203439003,1448
35203440001,1448
35203440002,1531
35203440003,1610
35203440004,1523
35203441001,1823
35203441002,1823
35203441003,1823
35203441004,1823
35203441005,1807
35203442001,1523
35203442002,1807
35203442003,1439
35203443001,1807
35203443002,1423
35203443003,1807
35203443004,405
35203444001,1807
35203445001,529
35203451004,922
35203570003,651
35203571001,727
35203571002,270
35203571003,270
35203572001,727
35203572002,270
35203572003,727
35203572004,270
35203573002,270
35203573003,270
35203574007,791
35203575001,1382
35203575002,975
35203575003,1112
35203575004,791
35203575005,975
35203576001,1112
35203576002,878
35203576003,1112
35203576004,1112
35203577001,878
35201629003,355
35201630001,355
35201630002,493
35201630003,355
35201720005,658
35201721001,432
35201632002,386
35201632003,452
35201632004,386
35201632005,386
35201634001,138
35201634003,386
35201634004,204
35201634005,386
35201634006,386
35201635001,386
35201635002,386
35201635003,386
35201635004,138
35201636001,386
35201636002,386
35201636003,386
35201636004,434
35201725001,1079
35201726001,520
35201726002,818
35201726003,818
35201726004,810
35201728001,634
35201730001,634
35201730002,634
35201730003,627
35201730004,153
35201730005,634
35201730006,634
35201840004,505
35201840005,505
35201731015,305
35201731016,305
35201732001,179
35201844001,758
35201844002,758
35201844003,758
35201844004,758
35201845001,758
35201845002,758
35201845003,758
35201845004,758
35201845005,758
35201962005,1425
35201963001,762
35201963002,762
35201847003,758
35201847004,758
35201848001,948
35201848002,948
35201848003,948
35201848004,801
35201849001,758
35201849002,758
35201850001,758
35201850002,758
35201850003,911
35201850004,911
35201963003,762
35201963004,762
35201964001,1168
35201964002,1329
35201964003,1496
35201964004,1168
35201964005,1496
35201964006,1496
35201965001,670
35201966001,83
35201966002,670
35201966003,672
35201966004,672
35201966005,670
35201967001,83
35201968001,876
35201969001,1020
35201969002,614
35201976001,910
35202098015,114
35202098018,1917
35202098019,472
35202098020,435
35202098021,1917
